Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-08-03,400,418.8,399.4,417,681050
2020-08-05,419,423,414.2,417.5,710091
2020-08-05,416.8,419.5,408.4,410,342348
2020-08-06,411.5,417.6,407.6,412.5,235949
2020-08-07,412,431.6,410.2,427,339692
2020-08-10,427,435,424.2,425.4,271458
2020-08-11,427.2,429.6,412.2,416.6,224346
2020-08-12,416.6,420.4,410,418,229809
2020-08-13,418,419.9,410.7,410.7,308820
2020-08-14,409.8,415.9,407,410.7,169427
2020-08-17,410.7,415,407.4,408,321626
2020-08-18,408,409.6,401.4,406.3,245034
2020-08-19,406,415,404,415,189910
2020-08-20,414,414,404.6,408.6,139003
2020-08-21,413.5,415.4,409,409.2,178876
2020-08-24,414.2,419.1,411.8,414.6,187027
2020-08-25,414,416,407,408,252312
2020-08-26,409.5,437.7,407.8,437,251762
2020-08-27,435,462,433.1,460.8,635392
2020-08-28,455.3,458.3,443.8,446,352899
2020-08-31,446,449.9,435,438.5,335642 
